atlas,system,api_name,api_url,called_by,functional,method
Brazil,records,records_species,https://biocache-service.sibbr.gov.br/biocache-service/occurrences/facets/download,atlas_species,TRUE,GET
Brazil,spatial,spatial_layers,https://portal-espacial.sibbr.gov.br/spatial-hub/layers,show_all-fields,TRUE,GET
Brazil,species,names_search_single,https://bie-webservice.sibbr.gov.br/bie-index/search?q={name}&pageSize=5,search_taxa,TRUE,GET
Brazil,species,species_children,https://bie-webservice.sibbr.gov.br/bie-index/childConcepts/,atlas_taxonomy,TRUE,GET
Brazil,species,species_lookup,https://bie-webservice.sibbr.gov.br/bie-index/species,atlas_taxonomy,TRUE,GET
Flanders,species,species_lookup,https://natuurdata.dev.inbo.be/bie-index/childConcepts/{id},atlas_taxonomy,TRUE,GET
Flanders,records,records_assertions,https://natuurdata.dev.inbo.be/biocache-service/assertions/codes,show_all-assertions,TRUE,GET
Flanders,records,records_fields,https://natuurdata.dev.inbo.be/biocache-service/index/fields,show_all-fields,TRUE,GET
Flanders,data-quality,profiles_all,https://natuurdata.dev.inbo.be/dqf-service/api/v1/data-profiles/,show_all-profiles,TRUE,GET
Flanders,data-quality,profiles_lookup,https://natuurdata.dev.inbo.be/dqf-service/api/v1/quality/activeProfile?profileName={profile},show_values-profiles,TRUE,GET
Flanders,records,records_facets,https://natuurdata.dev.inbo.be/biocache-service/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
Flanders,records,records_species,https://natuurdata.dev.inbo.be/biocache-service/occurrences/facets/download,atlas_species,TRUE,GET
Flanders,records,records_occurrences,https://natuurdata.dev.inbo.be/biocache-service/occurrences/offline/download,atlas_occurrences,TRUE,GET
Flanders,records,records_counts,https://natuurdata.dev.inbo.be/biocache-service/occurrences/search,atlas_counts,TRUE,GET
Flanders,collections,collections_collections,https://natuurdata.dev.inbo.be/collectory/ws/collection,show_all-collections,TRUE,GET
Flanders,collections,collections_providers,https://natuurdata.dev.inbo.be/collectory/ws/dataProvider,show_all-providers,TRUE,GET
Flanders,collections,collections_datasets,https://natuurdata.dev.inbo.be/collectory/ws/dataResource,show_all-datasets,TRUE,GET
Flanders,images,image_metadata,https://natuurdata.dev.inbo.be/image-service/ws/getImageInfoForIdList,media_metadata,TRUE,GET
Flanders,images,image_download,files/media	https://natuurdata.dev.inbo.be/image-service/ws/image/{id}/original,media_download,TRUE,GET
Flanders,images,image_licences,https://natuurdata.dev.inbo.be/image-service/ws/licence,show_all-licences,TRUE,GET
Flanders,lists,lists_all,https://natuurdata.dev.inbo.be/species-list/ws/speciesList/,show_all-lists,TRUE,GET
Flanders,lists,lists_lookup,https://natuurdata.dev.inbo.be/species-list/ws/speciesListItems/{list_id},show_values-lists,TRUE,GET
Flanders,logger,logger_reasons,https://natuurdata.dev.inbo.be/logger/service/logger/reasons,show_all-reasons,TRUE,GET
France,collections,collections_collections,https://openobs.mnhn.fr/api/datasets/producers,show_all-collections,TRUE,GET
France,collections,collections_datasets,https://openobs.mnhn.fr/api/datasets,show_all-datasets,TRUE,GET
France,collections,collections_providers,https://openobs.mnhn.fr/api/datasets/providers,show_all-providers,TRUE,GET
France,records,records_assertions,https://openobs.mnhn.fr/biocache-service/assertions/codes,show_all-assertions,TRUE,GET
France,records,records_counts,https://openobs.mnhn.fr/biocache-service/occurrences/search,atlas_counts,TRUE,GET
France,records,records_facets,https://openobs.mnhn.fr/biocache-service/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
France,records,records_fields,https://openobs.mnhn.fr/biocache-service/index/fields,show_all-fields,TRUE,GET
France,records,records_occurrences,https://openobs.mnhn.fr/biocache-service/occurrences/offline/download,atlas_occurrences,TRUE,GET
France,records,records_query,https://openobs.mnhn.fr/biocache-service/webportal/params,atlas_occurrences,TRUE,GET
France,records,records_species,https://openobs.mnhn.fr/biocache-service/occurrences/facets/download,atlas_species,TRUE,GET
France,name-matching,names_lookup,https://taxref.mnhn.fr/api/taxa/,search_identifiers,TRUE,GET
France,name-matching,names_search_single,https://taxref.mnhn.fr/api/taxa/search?scientificNames={name}&page=1&size=5,search_taxa,TRUE,GET
France,species,species_children,https://taxref.mnhn.fr/api/taxa/{id}/children,atlas_taxonomy,TRUE,GET
Global,species,names_search_single,https://api.gbif.org/v1/species/match?verbose=FALSE&name={name},search_taxa,TRUE,GET
Global,collections,collections_providers,https://api.gbif.org/v1/organization,show_all-providers,TRUE,GET
Global,collections,collections_collections,https://api.gbif.org/v1/grscicoll/collection,show_all-collections,TRUE,GET
Global,collections,collections_collections_search,https://api.gbif.org/v1/grscicoll/search,search_all-collections,TRUE,GET
Global,collections,collections_datasets,https://api.gbif.org/v1/dataset,show_all-datasets,TRUE,GET
Global,collections,collections_datasets_search,https://api.gbif.org/v1/dataset/search,search_all-datasets,TRUE,GET
Global,records,records_counts,https://api.gbif.org/v1/occurrence/search,"atlas_counts, show_values-fields",TRUE,GET
Global,records,records_occurrences,https://api.gbif.org/v1/occurrence/download/request,atlas_occurrences,TRUE,POST
Global,species,species_children,https://api.gbif.org/v1/species/{id}/children,atlas_taxonomy,TRUE,GET
Guatemala,collections,collections_collections,https://snib.conap.gob.gt/colecciones/ws/collection,show_all-collections,TRUE,GET
Guatemala,collections,collections_datasets,https://snib.conap.gob.gt/colecciones/ws/dataResource,show_all-datasets,TRUE,GET
Guatemala,collections,collections_providers,https://snib.conap.gob.gt/colecciones/ws/dataProvider,show_all-providers,TRUE,GET
Guatemala,images,image_licences,https://imagenes.snib.conap.gob.gt/licence,show_all-licences,TRUE,GET
Guatemala,images,image_metadata,https://imagenes.snib.conap.gob.gt/image/,media_metadata,FALSE,GET
Guatemala,logger,logger_reasons,https://snib.conap.gob.gt/logger/service/logger/reasons,show_all-reasons,TRUE,GET
Guatemala,records,records_assertions,https://snib.conap.gob.gt/registros-ws/assertions/codes,show_all-assertions,TRUE,GET
